MLEV|Michael Levick|
MLIG|Moonlighters|
MMCP|Corporate Pitstop|
MMEP|Mariachi Music Entertainment|
MMFR|Maurice Michaux|
MMIL|March Militaire|
MNOV|Mark Novak|
MOGO|Mona Goldstein|
MONU|Monumental Brass Quintet|
MOOD|Mood Swings|
MPBD|The Amazing Bottle Dancers|
MPDB|747 Dance Band|
MRBP|Mr. Bump|
MRPM|Pirate Mike|
MRSK|Marc Rosenkoetter|
MRWB|Mr. Wilson Band|
MTPD|Meki's Tamure Polynesian Dance Group|
MVAL|DJ Michael Valenti|
MWEB|Erin Boheme|
MWIG|Matt Wigler Trio|
MWRB|Marc Wilner|
MWTD|Tony DeSare|
MYWA|Mystic Warriors|
NANO|Nancy Norris|
NECC|Bingo|
NEPW|New York Party Works|
NEWS|New Stages|
NIGH|Night & Day|
NMON|New Monopoly|
NOWT|Now This!|
NTLF|Night Life|
OASI|Oasis|
OLIV|Olivera Music|
ONYX|Onyx|4
OPRD|Radiant|
PAAV|IMS Audio Visual|
PABE|Parrotbeach|
PAJD|Joe DiVita|
PARK|Park Avenue|
PBEL|Paul Belanger|
PHCA|Terry LeBan|
PHDS|DJ Donnie|
PHEC|East Coast Event Group|
PHEV|Eventricity LLC|
PHGI|Mark Furman|
PHIA|Impact Ent.|
PHLA|Lounge Around|
PHMJ|Marc D. Johnson|
PHSS|Shaw Strings|
PMJA|PM Jazz|
PREE|Patty Reese Band|
PTBT|Parties by Terrye|
PZAG|AP3- MC Angel|16
PZAM|AP3- MC Styles|16
PZAI|DJ Adam|16
PZAN|DJ Andy Green|8
PZAP|AP3 DJ|16
PZCH|Carroll Higgins|8
PZCW|AP3- MC L.A.|16
PZDH|DJ Dustin|8
PZDU|DJ Chuck Miller|8
PZJH|DJ Johnny Hernandez|8
PZKE|AP3- DJ King XIII|16
PZKM|Kara McKenzie|16
PZLA|MC Lance|8
PZRV|DJ Ray|8
PZSM|DJ Scott Miller|8
PZSO|AP3- MC Soph-E|16
PZSS|DJ Spencer|8
PZTY|DJ Tyrone|8
RATP|Rat Pack|
RATW|Ruthie & The Wranglers|
RCHG|Richie G|
REDS|Washington Redskins Cheerleaders-PFI Inc.|
REGE|Regency|
RICO|Rico Mills|
RKDJ|MC Reggie|
RKWT|Rick Wright & Company|
RMBS|Boom Sound|
RMIL|Richard Miller|
ROCK|Rocky Korr|
RONJ|Ron Jeffreys|
ROSE|Rose Rosetree|
ROST|Robert Strong|
ROYB|Roy Beyer|
RPOT|Rich Potter|
RPWP|Rojas Photography|
RSTR|Robert K. Strong|
RUBB|Rubberband|
RWBP|Rob White|
SABR|Sabrina Mandell|
SAHB|The Satyr Hill Band|
SBWA|Wacky Action Photos|
SCTZ|The Zippers|
SECO|Second Nature|
SEKI|Alexandria Kleztet|
SFLE|Shelly Flex|
SFLN|Steve Flynn|
SFMS|Soul Fusion|
